SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
18,JP,埼玉県,男性,31歳,200万円以上 250万円未満,1,未婚,いない,自由業、専門職（医者、弁護士など）,SEQ0018_1.webp,"2024/01/19
14時53分
一人で自炊
赤魚としめじの炊き込みご飯",白米をベースにした炒飯または混ぜご飯。白身魚（鱈や鶏肉の可能性）と玉ねぎ、きのこ類が混ざり合い、醤油ベースの薄い茶色に仕上げられた家庭料理。木製スプーン付き赤い丼に盛られている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0018_1.webp,,#C4A46B,#8B6914,#D4B896,#5C3A1E,#E8D5B0,#3D2B1F,#F0E6D0,320,1.2,1.4,210,480,18,8,82,1.5,1,伝統ローカル料理,1人,自分
19,JP,東京都,男性,32歳,"1,500万円以上 2,000万円未満",3,未婚,いない,管理職（課長クラス以上）,SEQ0019_1.webp,昨日の夕食,ソースカツ丼：揚げたてのトンカツにデミグラス風ソースをかけ、千切りキャベツと共にご飯の上に盛った丼。味噌汁と漬物（高菜）が付属する定食スタイル。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0019_1.webp,,#8B2500,#C84B00,#F5E6C8,#2C1A0E,#F0C040,#4A7A3A,#D4A017,750,28,3.8,680,980,38,32,118,4.5,1,伝統ローカル料理,1人,自分
20,JP,千葉県,男性,32歳,300万円以上 350万円未満,1,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0020_1.webp,"夕食
2024年1月16日21時30分頃、
一人でテレビを見ながらカレーライスを食べた。
寮のスタッフが調理した。",日本式カレーライス（福神漬け添え）、揚げ物（コロッケまたはカツ）、サラダ、小鉢のセット。茶色のルーに野菜・肉が入り、白米と盛り合わせた定食スタイル。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0020_1.webp,,#8B6914,#F5F5DC,#C0392B,#4CAF50,#D4A017,#F0E68C,#8B4513,750,18,3.8,820,920,28,32,118,5.5,1,伝統ローカル料理,1人,自分
22,JP,東京都,男性,35歳,500万円以上 600万円未満,2,未婚,いない,営業・販売職（セールスマン、店員など）,SEQ0022_1.webp,"2024年1月10日13時頃の昼食に群馬県に出張入ったとかに地元の人気トンカツ屋さんで食べたトンカツ定食。
1人で食べて、お客先の訪問前に食べたもの。",とんかつ定食。衣をつけて揚げた豚ロースカツをスライスし、千切りキャベツ・トマト・レモン・パセリを添えたメインプレート、白米、ネギ入り味噌汁のセット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0022_1.webp,,#C8860A,#F5F0E8,#6B8E23,#D32F2F,#F5F5DC,#8B4513,#FFF9C4,750,12.5,3.2,820,920,38,42,95,4.5,1,伝統ローカル料理,1人,自分
23,JP,千葉県,男性,35歳,700万円以上 800万円未満,2,既婚,いる,事務職（教員も含む）,SEQ0023_1.webp,"昼食
2024/1/7
12時ごろ
御徒町
友人と
酒を飲みながら
キクラゲの和物とラム肉
飲み屋",中国風の辛味スパイス料理2品。左は香草と唐辛子ソースがかかった腸や内臓の冷菜、右は麺と豚スライス・レタス・ピーナッツを辛味ダレで和えた担々麺風丼。四川料理の特徴的な赤い辣油が使用されている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0023_1.webp,,#C0392B,#8B4513,#6B8E23,#D2691E,#F5F5DC,#2F4F2F,#DAA520,750,8,4.5,620,680,28,38,52,5,2,洋食,2人,友達
24,JP,東京都,男性,36歳,"1,200万円以上 1,500万円未満",3,既婚,いない,管理職（課長クラス以上）,SEQ0024_1.webp,"夕食
12月24日
家族とクリスマスの食事として妻が作ったのを2人で食べた",チーズフォンデュ、グラタン2種、生ハムや野菜の盛り合わせ、焼き鳥、ブロッコリーやパンのディップ用プレートなど、洋風パーティー料理が豊富に並ぶ豪華なホームパーティーセット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0024_1.webp,,#F5E6C8,#C0392B,#2E7D32,#D4A017,#8B4513,#F0F0F0,#4A4A4A,2800,45,18,2800,3200,145,198,210,18,4,伝統ローカル料理,4人以上,恋人・配偶者
25,JP,東京都,男性,36歳,600万円以上 700万円未満,2,既婚,いる,事務職（教員も含む）,SEQ0025_1.webp,"昼食
９月頃
家族で食事しながら",牛肉の赤ワイン煮込みをブラウンソースで仕上げた洋風シチュー。トマト、エリンギ、クレソンを添え、土鍋風の器に盛られ、白米が別皿で提供される。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0025_1.webp,,#3D1C0A,#8B3A1A,#F5F5F0,#D4A96A,#2E6B2E,#C0392B,#C8B89A,650,12,2.8,820,680,28,22,85,3.5,1,伝統ローカル料理,1人,家族
26,JP,東京都,男性,38歳,600万円以上 700万円未満,2,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0026_1.webp,"現在教員をしている。
昼の昼食は、子供と食べている。
給食がないので、現在は弁当を注文している",日本の病院食または給食風の弁当。豚肉と豆腐の炒め物、ほうれん草とにんじんの和え物、コロッケ、春巻き、みかんの缶詰が含まれる彩り豊かな和風定食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0026_1.webp,,#E8A020,#4A7C3F,#C8602A,#F5D080,#8B4513,#FF8C00,#D4C5A0,420,12,2.8,680,520,22,24,52,5.5,1,伝統ローカル料理,1人,自分
27,JP,埼玉県,男性,38歳,"900万円以上 1,000万円未満",3,既婚,いる,事務職（教員も含む）,SEQ0027_2.webp,"平日仕事の昼休み風景。
2024年1月22日撮影。
16時すぎ撮影。
職場のデスクで撮影。
1人でデスクで食事。
事務仕事をしながら食べた。
買ってきたものを自分でレンジでチンして食べた。

平日お昼はいつもこんな感じです。",日清の汁なし担々麺（大盛り360g）。ごまベースの濃厚なタレと肉味噌、ネギをのせた中華風まぜそば。花椒入り唐辛子パック付きで辛さレベル4の本格的な一品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0027_2.webp,,#C0392B,#1A1A1A,#E67E22,#F4D03F,#7D6608,#2ECC71,#F5F5F5,360,8.2,5.8,380,578,18.4,22.6,76.3,3.2,1,洋食,1人,自分
28,JP,東京都,男性,40歳,"900万円以上 1,000万円未満",3,既婚,いない,事務職（教員も含む）,SEQ0028_1.webp,昼食として今日１３時頃，ひとりでフードコートにおいて株価を確認しながら松戸富田麺桜のつけ麺を食べた。,つけ麺。濃厚な味噌ベースのつけ汁（鶏・豚骨系）に刻みネギ、海苔、ナルト、柚子皮をトッピング。太めのストレート麺を別皿に大盛りで提供する日本式つけ麺。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0028_1.webp,,#C8845A,#E8C87A,#4A3728,#F5F0E8,#2D5A1B,#1A1A1A,#D4956A,750,12,6.5,520,920,38,28,130,5,1,伝統ローカル料理,1人,自分
29,JP,神奈川県,男性,40歳,400万円以上 450万円未満,2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0029_1.webp,"1月4日の夕食を友人と食べた
スペイン料理を三人で食べる",スペイン風シーフードパエリア。大きな海老、ムール貝、アサリを豪華に盛り付け、サフランライスの上に並べた鉄製パン仕上げの一品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0029_1.webp,,#E8742A,#1A1A2E,#F5C842,#F0EAD6,#C0392B,#8B6914,#FF9966,900,4,3.8,980,620,48,18,62,2.5,2,伝統ローカル料理,2人,友達
30,JP,千葉県,男性,41歳,わからない／答えたくない,0,未婚,いない,自由業、専門職（医者、弁護士など）,SEQ0030_1.webp,"昼食
1月18日
14時
一人
食べるだけ
おにぎり、カレーパン
スーパーで買ったもの",おにぎり2個（海苔巻き、具材入り）とセサミバンズのパンがそれぞれ個包装されている。おにぎりは黒い海苔で包まれたご飯、パンはゴマをまぶした丸い菓子パン風。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0030_1.webp,,#1a1a1a,#8B4513,#F5DEB3,#C0C0C0,#8B6914,#F0E68C,#2F4F4F,380,18,2.1,280,520,12,8,95,3.2,1,伝統ローカル料理,1人,自分
31,JP,埼玉県,男性,41歳,わからない／答えたくない,0,既婚,いない,営業・販売職（セールスマン、店員など）,SEQ0031_1.webp,"2023年10月の13時ごろ配偶者と
昼食を取りながら。
外食
かつ丼",ソースカツ丼：厚めの豚カツをご飯の上に乗せ、濃厚なソースをかけた丼料理。衣はサクサクのパン粉揚げ。味噌汁・漬物・お茶付きの定食セット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0031_1.webp,,#C4622D,#8B4513,#F5DEB3,#FFFFFF,#4A7C59,#D4A017,#2F4F8F,750,28,3.8,620,980,38,32,128,3.2,1,伝統ローカル料理,1人,恋人・配偶者
32,JP,東京都,男性,42歳,400万円以上 450万円未満,2,未婚,いない,製造・労務職,SEQ0032_1.webp,"1月7日夜20時頃
台湾のチェーン店三商幸福にて。
名前は不明。フライドチキンと角煮や野菜が入った丼のようなもの。それのセットメニュー。",台湾風排骨飯（スペアリブ丼）。揚げた豚スペアリブをご飯の上にのせ、青菜、キャベツ、コーン・にんじん・豆の野菜炒め、煮物を添えた定食。味噌スープ、キムチ、高菜の漬物が付属。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0032_1.webp,,#8B4513,#F5F5DC,#4CAF50,#FFA500,#FFD700,#D2691E,#E8D5B7,750,12,3.8,820,680,32,22,85,7,1,伝統ローカル料理,1人,自分
33,JP,神奈川県,男性,44歳,300万円以上 350万円未満,1,未婚,いない,サービス業（理容師、運転手など）,SEQ0033_1.webp,夕食　1月17日　19時頃　1人　ラーメン,明星チャルメラカップ醤油ラーメン。コーン、チャーシュー、ネギをトッピングした醤油ベースのスープのインスタントカップ麺。湯を注いで調理する簡便食品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0033_1.webp,,#C8382A,#F5E642,#8B5E3C,#4A7C3F,#F0E8D0,#1A3A6B,#FFFFFF,71,3.2,5.4,280,305,7.2,10.5,46.8,1.2,1,伝統ローカル料理,1人,自分
34,JP,東京都,男性,46歳,350万円以上 400万円未満,2,離別,いない,サービス業（理容師、運転手など）,SEQ0034_1.webp,2024年1月17日の朝食　自分で作って一人でラジオを聴きながら食べた,典型的な日本の家庭料理。白米、味噌汁、温泉卵、ハムエッグ、きゅうりの漬物、きのこの佃煮、サラダで構成された栄養バランスの良い和定食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0034_1.webp,,#F5F5F0,#D4A017,#FF6B6B,#4CAF50,#8B4513,#F4A460,#C0392B,850,12.5,3.8,980,620,28.5,18.2,82,4.5,1,伝統ローカル料理,1人,自分
35,JP,神奈川県,男性,47歳,700万円以上 800万円未満,2,既婚,いる,営業・販売職（セールスマン、店員など）,SEQ0035_2.webp,土日のお酒のお供の焼き鳥。くしをダイソーで買って鶏ももとねぎはエイビィで購入し、魚焼きグリルで焼いた。,鶏肉と長ネギを交互に刺した焼き鳥（ねぎま）串が4〜5本。表面に七味唐辛子をまぶし、炭火焼きで香ばしく焼き上げた日本の定番料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0035_2.webp,,#D4A574,#8B4513,#F5E6D3,#2D5A1B,#C0392B,#1A1A1A,#FFFFFF,280,2.5,1.8,520,385,38,18,6,1.2,2,伝統ローカル料理,2人,恋人・配偶者
38,JP,東京都,男性,49歳,800万円以上 900万円未満,3,既婚,いる,管理職（課長クラス以上）,SEQ0038_1.webp,昼食、2023年12月中旬、7時ころ、自分で、弁当作ったので撮影してみた,二段弁当。下段は梅干し乗せ白米。上段は鶏の照り焼き、厚焼き玉子、ほうれん草の胡麻和え、ハムチーズロール、ブドウを盛り合わせた彩り豊かな和風弁当。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0038_1.webp,,#F5F5F0,#D4A852,#8B3A3A,#4A4A6A,#6B8C5A,#F2C94C,#C0392B,550,18,2.8,620,680,28,18,92,3.5,1,洋食,1人,自分
39,JP,埼玉県,男性,51歳,250万円以上 300万円未満,1,未婚,いない,事務職（教員も含む）,SEQ0039_1.webp,"撮影した食事：夕食
撮影した時期：2024年1月18日
撮影した時間帯：19時頃
どこで：自宅のダイニング
誰と：ひとりで
何をしながら：ワインを飲みながら
何を食べたか：すけそうだらソーセージとスティックセニョールのスパゲティ
誰が作ったか：自分",スパゲッティベースのパスタ料理。スナップエンドウ、鶏むね肉スライス、ハーブ（パセリ等）をオリーブオイルとニンニクで炒めたアーリオオーリオ風。白ワインと一緒に提供されている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0039_1.webp,,#E8D5A3,#7AB648,#F5F0E8,#C8B87A,#4A7C35,#D4C490,#8B7355,380,6.5,1.8,520,520,28,14,68,5.5,1,洋食,1人,自分
40,JP,神奈川県,男性,52歳,"1,000万円以上 1,100万円未満",3,既婚,いる,管理職（課長クラス以上）,SEQ0040_1.webp,夕飯、1月15日20時頃、自分が作った料理、粕漬けの魚とご飯,アルミホイルで包んで焼いた魚（サバまたはブリの切り身）の西京焼き風。表面が濃い焦げ色で、甘味噌ダレが炭化するほどしっかり焼かれている。白米（少量）を添えたシンプルな和食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0040_1.webp,,#2C1A0E,#8B4513,#C8A96E,#F5F0E8,#D4C5A9,#1C1C1C,#A67B5B,350,8.5,2.8,620,420,28,14,42,0.3,1,韓国料理,1人,自分
41,JP,神奈川県,男性,52歳,350万円以上 400万円未満,2,既婚,いる,事務職（教員も含む）,SEQ0041_1.webp,夕食、2024.01.17、18時、妻,典型的な和食の定食。焼き鮭、白米、味噌汁（わかめ・野菜入り）、炒めキャベツ、大根おろし、キムチで構成された栄養バランスの良い家庭料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0041_1.webp,,#F5F5DC,#E8855A,#FFFFFF,#4A7C59,#D4380A,#F0E68C,#8B6914,750,8.5,3.8,1250,620,32,12,88,5.5,1,伝統ローカル料理,1人,恋人・配偶者
42,JP,東京都,男性,53歳,"900万円以上 1,000万円未満",3,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0042_1.webp,"夕食　2024年1月8日　19時ころ　配偶者と
会話しながら食事",ブリの煮付け定食。醤油・みりんベースのタレで煮込んだブリの切り身に小松菜・長ネギを添え、白米・味噌汁・黄色い漬物・切り干し大根の煮物が付く典型的な和定食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0042_1.webp,,#8B4513,#F5F5DC,#2D5A1B,#D4A017,#8B0000,#F0EAD6,#4A3728,750,18,4.2,980,620,32,12,85,4.5,1,洋食,1人,恋人・配偶者
43,JP,東京都,男性,53歳,200万円未満,1,未婚,いない,サービス業（理容師、運転手など）,SEQ0043_1.webp,"昼食
2024/1/16/11:55
一人
11:55
テレビを見ながら
豆腐、グリーンカレー、ミックス野菜、味噌汁、緑茶
自分で支度
主にスーパーで購入",炊き込みご飯（鶏肉や野菜入り）、千切りキャベツサラダ、味噌汁のセット。家庭的な和食の定食スタイルで、緑茶付き。トレーに盛り付けられたバランスの良い食事。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0043_1.webp,,#C8B87A,#F5F0DC,#4A7C3F,#8B4513,#D4C5A9,#2C2C2C,#90EE90,650,8.5,2.8,680,520,18.5,8.2,88,5.5,1,伝統ローカル料理,1人,自分
44,JP,千葉県,男性,55歳,700万円以上 800万円未満,2,既婚,いる,事務職（教員も含む）,SEQ0044_1.webp,職場で食べたもの。昼食、2023年12月28日。,日本の幕の内弁当。白飯（梅干し・黒ごま添え）、海老天ぷら、出し巻き卵、煮物（筑前煮）、焼き魚、ひじき、いちご、柿などが彩り豊かに詰められた伝統的な和風弁当。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0044_1.webp,,#F5F0E8,#D45A2A,#4A7C3F,#E8C84A,#8B2020,#2C2C2C,#E85050,650,22,3.8,720,680,22,18,98,5.5,1,伝統ローカル料理,1人,自分
45,JP,千葉県,男性,56歳,450万円以上 500万円未満,2,離別,いない,管理職（課長クラス以上）,SEQ0045_1.webp,"2024年1月17日  19時ごろ
自分の部屋で1人で",日清のチキンラーメンカップ麺。国産チキン100%スープベースで、とろふわ卵入り。熱湯3分で完成するインスタントラーメン。醤油ベースのチキン風味スープに縮れ麺が特徴。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0045_1.webp,,#E8A020,#C45A00,#F5D06A,#4A8A3C,#FFFFFF,#8B4513,#F0E68C,85,3.2,5.3,210,352,9.8,5.5,65.2,1.8,1,洋食,1人,自分
