SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
517,ID,ジャカルタ首都特別州,男性,25歳,"Rp 8,000,000 - RP 8,999,999",2,既婚,いる,個人経営主、農業主,SEQ0517_1.webp,夕食に野菜と豆腐テンペで栄養バランスの取れた食事をとります。,インドネシアの家庭料理。赤飯（ナシメラ）、揚げ豆腐、テンペゴレン、サンバル添え。鍋には汁物が入っており、野菜と豆腐テンペを使った栄養バランスの良い夕食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0517_1.webp,,#8B2500,#F5E6C8,#C8A96E,#D4B483,#F0F0F0,#4A3728,#E8742A,650,4.5,2.8,820,520,22,18,68,7.5,2,伝統ローカル料理,2人,恋人・配偶者
519,ID,ボゴール地区,男性,27歳,"Rp 8,000,000 - RP 8,999,999",2,既婚,いる,製造・労務職,SEQ0519_2.webp,私が買ったこの朝食は「クエプトゥバンブ」というお菓子です。,クエ・プトゥ・バンブ（Kue Putu Bambu）は、緑色のパンダンリーフ風味の米粉とヤシ砂糖（グラメラ）を詰め、竹筒で蒸した伝統的なインドネシアのお菓子。白い筒状の形が特徴で、中央に茶色いヤシ砂糖の層が見える。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0519_2.webp,,#F5F5F0,#C8A96E,#8B5E3C,#4A7C59,#D4C9B0,#F0EBE0,#2D5A3D,900,72,1.2,420,1080,14,18,210,4.5,6,伝統ローカル料理,4人以上,自分
520,ID,ジャカルタ首都特別州,男性,30歳,"Rp 9,000,000 - RP 9,999,999",2,未婚,いない,サービス業（理容師、運転手など）,SEQ0520_1.webp,私は今、品質と材料が明確な完全に自家製のオタクオタク（魚の練物）とフライドポテトを楽しんでいる所です。夕方の空いた時間を過ごすお供となっています。,自家製オタク・オタク（魚のすり身を香辛料と混ぜてバナナの葉で包んで焼いた伝統的なインドネシアの練り物）とフライドポテトをトマトソースとマヨネーズを添えたおやつ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0520_1.webp,,#F4D03F,#E8A87C,#E74C3C,#FFFFFF,#F1948A,#D4AC0D,#FAD7A0,180,6.5,1.2,520,380,10.5,16,48,3.5,1,伝統ローカル料理,1人,自分
521,ID,ジャカルタ首都特別州,男性,30歳,"Rp 5,000,000 - Rp 5,999,999",1,未婚,いない,営業・販売職（セールスマン、店員など）,SEQ0521_1.webp,海釣りへ行く用意している時にピザを食べました。,四角くカットされたピザが箱に並べられている。チーズたっぷりのマルゲリータ系と、野菜・キノコ・オリーブなどのトッピングが乗った2種類のフォカッチャスタイルのピザ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0521_1.webp,,#D4A017,#C8860A,#8B4513,#2F4F2F,#F5DEB3,#8B0000,#F0E68C,600,18,5.2,520,1440,54,58,178,8,3,洋食,3人,友達
522,ID,ボゴール市,男性,32歳,"Rp 6,000,000 - Rp 6,999,999",1,既婚,いる,管理職（課長クラス以上）,SEQ0522_1.webp,夕食に家族であるパートナーと子供と一緒に栄養たっぷりでとても美味しい食事をいただきました。,インドネシアの家庭料理。揚げ魚（イカン・ゴレン）、サンバル・マタ（唐辛子ソース）、テンペ・ゴレン、ナシ（白米）、野菜の炒め物、きゅうりの薄切り、揚げバナナ（ピサン・ゴレン）など複数のおかずを並べた典型的なインドネシアの家族食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0522_1.webp,,#8B2500,#C41E3A,#D4A017,#4A3728,#F5F5DC,#556B2F,#FF8C00,1800,12,8.5,2200,1650,72,58,210,14,3,伝統ローカル料理,3人,家族
523,ID,ジャカルタ首都特別州,男性,33歳,"Rp 12,500,000 - RP 14,999,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0523_1.webp,今朝、毎日の仕事の前に、私を元気づけるために、妻が作った温かいミコ（ドリンク）と軽いサンドイッチの写真です。,ミロ（チョコレートモルトドリンク）入りのマグカップと、プラスチック容器に入った小さなビスケット（クッキー）。インドネシアで日常的に飲まれる人気の温かい飲み物と軽食の組み合わせ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0523_1.webp,,#8B4513,#F5F5F5,#228B22,#D2691E,#F4A460,#FFFFFF,#C0C0C0,320,22,0.3,280,280,6,8,45,1.5,1,伝統ローカル料理,1人,自分
524,ID,ジャカルタ首都特別州,男性,33歳,"Rp 9,000,000 - RP 9,999,999",2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0524_1.webp,これは私の好物のバックミー（汁なし鳥そば）です。,バックミー（Bakmi Goreng）は、インドネシアの定番炒め麺料理。太めの中華麺を醤油ベースのソースで炒め、赤・緑ピーマン、玉ねぎ、マッシュルームなどの野菜を加えた香り豊かな一品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0524_1.webp,,#C8860A,#4A7C3F,#C0392B,#F5DEB3,#2C1A0E,#E8D5A3,#FFFFFF,380,8,2.8,420,520,14,18,75,4,1,伝統ローカル料理,1人,自分
525,ID,ブカシ,男性,37歳,"Rp 7,000,000 - Rp 7,999,999",2,既婚,いる,専業主婦・主夫,SEQ0525_1.webp,これはマドゥラの鴨料理で、夫が仕事から帰宅する時に買ってきます。私はこれが大好きです。,マドゥラ島伝統のビベックスンバリ（スパイシーダック）。鴨肉をチリ、ターメリック、ガランガル等のスパイスで煮込んだ濃厚な赤褐色の料理。きゅうりスライスとバジルリーフを添えて盛り付け。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0525_1.webp,,#8B2500,#C4430A,#D4691E,#4A7C3F,#C8E6A0,#1A3A6B,#F5E642,350,6,2.8,520,480,32,34,12,2.5,1,伝統ローカル料理,1人,自分
526,ID,ジャカルタ首都特別州,男性,40歳,"Rp 40,000,000 or more",3,既婚,いる,管理職（課長クラス以上）,SEQ0526_1.webp,スンダ郷土料理,スンダ料理のイカン・ペスのセット。スパイシーなサンバル系ソースをまとった揚げ魚（3尾）と、バナナの葉で包まれたプソ（ナシプソン）や蒸し料理が盛り合わせ。黄金色のスパイスペーストが魚全体を覆い、香ばしい見た目。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0526_1.webp,,#8B5E3C,#C8860A,#4A3728,#D4A017,#2D4A1E,#F5E6D3,#1C1C1C,550,4,3.2,820,580,48,28,32,3,2,伝統ローカル料理,2人,恋人・配偶者
527,ID,ジャカルタ首都特別州,男性,40歳,"Rp 30,000,000 - RP 39,999,999",3,既婚,いる,管理職（課長クラス以上）,SEQ0527_2.webp,料理の名前は「Tahu Ketupat」と言い、手ごろな価格で辛さが楽しめます。中身は、揚げ豆腐、かき揚げ、蒸し飯、麺、キャベツ、そしてピーナツソースです。,タフケトゥパットはインドネシアの屋台料理。揚げ豆腐、かき揚げ、ケトゥパット（蒸し米）、黄色い麺、キャベツ、ピーナッツをピリ辛ソースで和えたもの。パクチーとピーナッツをトッピング。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0527_2.webp,,#C0392B,#F39C12,#2ECC71,#F5F0E8,#8B4513,#D4AC0D,#F8F9F9,450,8,2.1,420,520,18,22,62,5,1,伝統ローカル料理,1人,自分
528,ID,ジャカルタ首都特別州,男性,41歳,"Rp 12,500,000 - RP 14,999,999",2,未婚,いない,自由業、専門職（医者、弁護士など）,SEQ0528_1.webp,マヨネーズと卵が中に入ってるコロッケのようなもの。今朝、家の食卓で家族と一緒に撮影しました。,三角形の揚げ物。パン粉でコーティングされた衣がサクサクとした食感で、中にマヨネーズと卵が入ったコロッケ風のインドネシア家庭料理。きつね色に揚げられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0528_1.webp,,#C8641A,#D4782B,#8B4513,#E8943C,#A0522D,,,200,3,1.2,220,420,12,26,36,1.5,2,伝統ローカル料理,2人,家族
529,ID,ジャカルタ首都特別州,男性,42歳,"Rp 10,000,000 - RP 12,499,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0529_1.webp,シンプルな食べ物ですが、味はとても満足です。,白米にゆで青菜（カンクン等）、クルプック（揚げせんべい）、豆類の炒め煮をのせたインドネシアの家庭料理。シンプルながら滋味深い一皿。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0529_1.webp,,#F5F0E8,#4A7A3A,#C8A85A,#8B6914,#D4C9A0,#2E5E2E,#B8B8B8,380,3.5,1.8,520,420,9.5,8,76,4.5,1,伝統ローカル料理,1人,自分
530,ID,ジャカルタ首都特別州,男性,44歳,"Rp 30,000,000 - RP 39,999,999",3,既婚,いる,管理職（課長クラス以上）,SEQ0530_1.webp,チキン粥を朝食に,インドネシア風チキン粥（ブブル・アヤム）。白いお粥の上に細かく裂いたチキン、キャベツの千切り、赤・黄のトッピング、レモンを添えた定番の朝食料理。発泡スチロール容器に盛られた屋台スタイル。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0530_1.webp,,#F5F0E8,#D4A96A,#8B7355,#E8D5B7,#C8E6C9,#FF6B6B,#F9E04B,350,3,1.8,320,280,18,8,35,2,1,伝統ローカル料理,1人,自分
531,ID,ジャカルタ首都特別州,男性,48歳,"Rp 40,000,000 or more",3,既婚,いる,管理職（課長クラス以上）,SEQ0531_1.webp,これはミーアヤム（チキンヌードル）です。最近話題になっているので、試してみました。2024年1月11日（木）昼食時にジョグジャカルタで何人かの友達と一緒にいた時に撮りました。,ミーアヤム（チキンヌードル）のトッピング部分。鶏肉を醤油ベースの甘辛いソースで煮込み、青菜や香辛料と合わせた具材。濃い赤褐色のソースが絡んだインドネシアの定番麺料理の具。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0531_1.webp,,#8B3A2A,#C0522A,#5C3D1E,#A0522D,#4A7040,#D4824A,#3D2B1A,200,6,1.8,380,220,18,12,10,1.5,1,伝統ローカル料理,1人,友達
532,ID,ブカシ,男性,48歳,"Rp 6,000,000 - Rp 6,999,999",1,既婚,いる,個人経営主、農業主,SEQ0532_1.webp,今朝の朝食はインスタントコーヒーとパンです,インドネシアの定番インスタントコーヒー「Luwak White Koffie」とストライプ模様の袋入りスナックパン。白コーヒーは甘みとクリーミーさが特徴で、パンはソフトタイプの菓子パン。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0532_1.webp,,#F5E6C8,#8B4513,#FFD700,#FFFFFF,#D2691E,#F0E68C,#C8A882,180,22,0.6,120,380,6,10,65,1.5,1,伝統ローカル料理,1人,自分
533,ID,ジャカルタ首都特別州,男性,48歳,"Rp 12,500,000 - RP 14,999,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0533_1.webp,食卓にある私がとても好きなランチメニューです。,インドネシアの家庭料理の盛り合わせ。テンペ・イカン・アヤム炒め、サンバルソース、ナシウドゥッ（バナナ葉包みご飯）、野菜炒め、スパイス煮込み肉など複数の伝統的おかずが並ぶ豪華なランチ,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0533_1.webp,,#E8451A,#8BC34A,#D4A017,#5D4037,#F5F5DC,#2E7D32,#B71C1C,1800,18,9.5,2400,1650,72,68,195,18,4,伝統ローカル料理,4人以上,家族
534,ID,ジャカルタ首都特別州,男性,52歳,"Rp 7,000,000 - Rp 7,999,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0534_1.webp,ダイエット中なので、お粥と魚の塩漬け少々。,白いお粥（バブール）。うるち米を大量の水で柔らかく煮た白粥で、鍋に金属製スプーンが入っている。ダイエット食として食べられるシンプルな一品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0534_1.webp,,#F5F5F5,#E8E8E8,#DCDCDC,#C0C0C0,#8B8B8B,,,350,0.5,0.3,45,140,3,0.5,30,0.3,1,伝統ローカル料理,1人,自分
535,ID,ブカシ,男性,52歳,"Rp 25,000,000 - RP 29,999,999",3,既婚,いる,その他,SEQ0535_1.webp,タフ・ギンバル（豆腐料理）はジョグジャの伝統的な料理で、昨夜、家の近くにあるジョグジャ料理の屋台で買ってきました。私たち家族は外国料理よりも伝統的な食べ物が好きです。,タフ・ギンバルはジョグジャカルタの伝統料理。揚げ豆腐、テンペ、野菜にピーナッツソース、スパイス、削りココナッツをかけた屋台料理。茶色のソースと白い削り物が特徴的。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0535_1.webp,,#8B6914,#C8A45A,#F5E6C8,#4A3728,#D4B483,#6B8C3E,#E8D5A0,350,8,1.8,520,420,18,22,38,5,1,伝統ローカル料理,1人,家族
536,ID,ジャカルタ首都特別州,男性,52歳,"Rp 12,500,000 - RP 14,999,999",2,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0536_1.webp,オフィスでシンプルで安価な夕食,白米の上に揚げ魚（アヤムまたはイカン・ゴレン系）を乗せたインドネシアの定食。魚は香辛料で味付けされ、こんがりと揚げられている。ナシ・イカン・ゴレンスタイルの屋台飯。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0536_1.webp,,#F5F0DC,#8B4513,#D2691E,#C8B89A,#4A3728,#E8D5B0,#6B6B6B,400,2,2.5,520,580,28,18,72,1.5,1,伝統ローカル料理,1人,同僚
537,ID,ジャカルタ首都特別州,男性,56歳,"Rp 4,000,000 - Rp 4,999,999",1,既婚,いる,専業主婦・主夫,SEQ0537_1.webp,イカンペスモル（ペスモール風魚料理）、テンペオレック（オレック風テンペ）、揚げ豆腐、そして揚げせんべい。,インドネシア家庭料理の盛り合わせ。イカンペスモル（スパイス煮魚）、テンペオレック（甘辛炒めテンペ）、揚げ豆腐、揚げせんべい（クルプック）。スパイスとサンバルが豊富な伝統料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0537_1.webp,,#C0392B,#8B4513,#F0A500,#4A7C2F,#D4A017,#2C2C2C,#F5DEB3,450,8,3.5,720,680,38,35,52,6,2,伝統ローカル料理,2人,恋人・配偶者
538,ID,ジャカルタ首都特別州,男性,58歳,"Rp 30,000,000 - RP 39,999,999",3,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0538_1.webp,夕食にスパイシーなペタイサンバル（チリ）、豆腐、テンペ、そして塩漬け魚で、本当に美味しい料理です。,ペタイ（臭豆）とエビを使ったスパイシーなサンバル炒め。鮮やかな緑色のペタイ豆と海老が赤いチリベースのサンバルソースで炒められた、インドネシア伝統料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0538_1.webp,,#4CAF50,#C0392B,#E67E22,#8B4513,#F0E68C,#2C2C2C,#D35400,400,6,3.5,620,380,28,22,18,5,2,伝統ローカル料理,2人,恋人・配偶者
539,ID,ジャカルタ首都特別州,男性,58歳,"Rp 25,000,000 - RP 29,999,999",3,既婚,いる,管理職（課長クラス以上）,SEQ0539_1.webp,私は大学の同級生と一緒にお店で買ったンペンペ（練り物）を朝食に食べました。ンペンペの作り方を勉強したいと強く思っています。それは南スマトラの非常に特徴的で伝統的な食べ物です。,南スマトラの伝統料理「ンペンペ（Empek-empek/Pempek）」。魚のすり身と小麦粉で作られた練り物を蒸したもの。甘辛い黒酢ベースのタレ（クア・チュカ）を添えて食べる。もちもちとした食感が特徴。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0539_1.webp,,#F5E6C8,#D4B896,#C8A882,#3D1A0A,#F0D9B5,#8B6914,#FFFFFF,450,12,3.2,380,520,22,8,85,1.5,3,伝統ローカル料理,3人,友達
540,ID,ジャカルタ首都特別州,女性,18歳,"Rp 30,000,000 - RP 39,999,999",3,未婚,いない,専門学校生,SEQ0540_1.webp,いつも私がおやつとして食べる甘いソロメロンです。写真は今朝、リビングで自分一人の時に撮りました。メロンを切ったのは私のメイドさんです。,ソロメロン（マスクメロン）を一口大にカットしたもの。淡いオレンジ色の果肉が透明なプラスチック容器に盛られている。甘みが強く、インドネシアのおやつとして人気のフルーツ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0540_1.webp,,#F4A460,#FFDAB9,#FFB87A,#FFF0E0,#E8967A,,,350,28,0.1,630,119,2.1,0.5,30.1,2.1,1,伝統ローカル料理,1人,自分
541,ID,ジャカルタ首都特別州,女性,18歳,"Rp 6,000,000 - Rp 6,999,999",1,未婚,いない,家業手伝い：商店,SEQ0541_1.webp,2023年12月31日の大晦日の夕食に、私の家で友達と一緒に新年会をしている時に撮りました。オンラインでピザハット、パスタ、そしてチーズチキンを注文しました。,ピザハットのピザ（4種のトッピング：ソーセージ、野菜、チーズ等）、フライドチキン（チーズソース添え）、クリームパスタ（サラミ・きのこ入り）のセット。大晦日の宅配パーティーミール。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0541_1.webp,,#C8873A,#F5D176,#8B2500,#E8E0C8,#4A7C3F,#D4A855,#F0F0F0,1800,28,8.5,1200,2800,98,115,320,12,4,洋食,4人以上,友達
542,ID,ジャカルタ首都特別州,女性,19歳,"Rp 4,000,000 - Rp 4,999,999",1,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0542_1.webp,"夕食あるいは軽食
2023年10月25日撮影
カフェで撮影
友達と一緒に
カフェでリラックスしている時に
写っている食べ物はパンケーキ
カフェのバリスタが作ったものです",カフェスタイルのパンケーキ。ふわふわのクリームをたっぷりのせ、キャラメルソースをかけてクッキークランブルをトッピング。粉砂糖が散りばめられた甘いデザートパンケーキ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0542_1.webp,,#F5F0E8,#C8882A,#8B4513,#D4C5A9,#2C2C2C,#F0E6D3,#A0522D,200,32,0.4,180,420,6,18,58,1,1,洋食,1人,友達
543,ID,ボゴール市,女性,19歳,"Rp 5,000,000 - Rp 5,999,999",1,未婚,いない,その他,SEQ0543_1.webp,2023年12月30日、私は従兄弟と一緒に夕食を食べました。私たちはグリルされた肉のセットを注文することにして、ボゴールのジャラン・パンドゥ・ラヤ通りにある「Olu Cafe ＆ Grill」というレストランで食事しました。,韓国スタイルの焼肉セット。マリネされた牛肉・海老・イカ・野菜が大皿に盛られ、サンチュ、白米、各種ディッピングソース（チーズソース・サンバル・醤油ベース）、バター、にんにく付き。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0543_1.webp,,#8B4513,#F5F5DC,#228B22,#FF6347,#F0E68C,#D2691E,#FFFAF0,2500,28,8.5,2800,2400,120,85,280,12,3,韓国料理,3人,家族
544,ID,ジャカルタ首都特別州,女性,19歳,"Rp 10,000,000 - RP 12,499,999",2,未婚,いる,大学生（短大含む）、高専生、大学院生,SEQ0544_1.webp,"食べ物：チモール（軽食）
2024年1月18日（木）撮影
キッチンで撮影
家族と一緒に
食べました",チモール（Cimol）はインドネシアの揚げたタピオカ粉のボール状スナック。外はカリッと中はもちもちした食感で、スパイスやソースで味付けされた人気の屋台軽食。串に刺して食べることもある。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0544_1.webp,,#F5F0E8,#D4A96A,#C17A3A,#8B6347,#E8E0D0,#B8956A,#F0E8D8,200,2.5,1.2,180,320,3.5,12,50,1,3,伝統ローカル料理,3人,家族
